Fecha_reporte;MT;Tipo_Mineral;Tonelaje;Ali_Cu;Ali_Pb;Ali_Zn;Ali_Fe;NaCN;ZnSO4;PAX;F582;pH;Flo1_Cu;Flo1_Pb;Flo1_Zn;Flo1_Fe;Cu;Zn;Recup_Cu;CuSO4;SIPX;F582;pH;Flo2_Cu;Flo2_Pb;Flo2_Zn;Flo2_Fe;Cu;Zn;Recup_Zn
4-Oct-12;1379;M2;15868;0.76;0.01;0.31;9.26;20;40;100;50;10;4.25;0.04;1.13;9.89;5.45;3.6;6;;;;;;;;;;;
4-Oct-12;1380;M4A;15945;1.09;0.06;2.51;7.37;40;100;80;40;10;5.94;0.31;6.38;9.42;6.14;2.8;8;200;50;10;10.4;2.61;0.16;5.28;7.75;2.38;2.05;
12-Oct-12;1381;M4AT;41565;0.63;0.05;0.58;6.46;80;80;20;25;10;17.66;1.42;6.88;16.12;62.06;25.7;68;100;8;5;11;3.85;0.26;21.5;6.94;10.02;59.48;58.5
18-Oct-12;1382;M6;16785;0.49;0.01;0.64;7.05;40;150;100;25;10;7.1;0.12;6.11;7.3;11.26;7.6;10;;;;;3.2;0.05;2.16;7.05;5.2;2.75;
25-Oct-12;1383;M2;0;0.86;0.03;0.69;9.97;15;100;40;10;10.5;11.34;0.22;6;19.21;17.76;11.5;18;;;;;;;;;;;
30-Oct-12;1384;M6;42049;1.03;0.03;1.69;4.81;150;120;20;10;9.8;15.17;0.46;6.71;7.72;50.3;12.8;50;250;20;5;10.8;3.7;0.05;27;4.02;17.8;74.5;73
3-Nov-12;1385;M6;14000;0.49;0.12;2.22;3.4;200;200;20;15;9.5;8.45;4.85;25.95;3.14;12.95;8.9;10;200;20;10;10.8;4.12;0.98;24.2;2.98;20.9;27.33;26
6-Nov-12;1386;M2;0;0.87;0.01;0.42;9.5;15;40;25;10;10.3;6.75;0.03;1.57;13.8;17.07;8.3;18;;;;;;;;;;;
23-Nov-12;1387;M2AT;221378;1.03;0.01;0.06;8.03;10;20;12.5;10;10.2;19.34;0.09;0.97;17.1;79.27;68.8;79.3;;;;;;;;;;;
23-Nov-12;1388;M2AT;51698;1.52;0.01;0.15;8.32;10;40;40;10;10.2;27.2;0.12;1.84;13.35;77.67;67.9;78.5;;;;;;;;;;;
23-Nov-12;1389;M2AT;130020;0.62;0.01;0.07;9.09;10;20;10;10;10.1;14.23;0.08;1.03;16.4;90.89;59.1;88.5;;;;;;;;;;;
23-Nov-12;1390;M2AT;40781;1.02;0.01;0.21;12.89;10;20;20;10;10.3;21.26;0.13;2.12;22.2;85.66;47.2;85;;;;;;;;;;;
24-Nov-12;1391;M2AT;86400;0.14;0.01;0.01;2.4;20;15;10;10;10.2;13.5;0.15;0.47;12.87;85.27;28.7;80;;;;;;;;;;;
24-Nov-12;1392;M6;26603;0.84;0.05;1.01;7.68;100;200;15;10;9.7;14.3;1.16;21.75;13.73;41.2;49.7;40;150;10;5;10.8;7.61;0.69;12.46;24.83;14.62;18.99;16
24-Nov-12;1393;M5;18443;0.65;0.02;0.42;6.12;30;120;15;10;10;17;0.67;7.52;13.93;59.37;43;58;;;;;;;;;;;
24-Nov-12;1394;M6;26284;0.6;0.02;1.11;8.38;150;200;25;10;10.1;8.7;0.21;24.75;13.01;17.94;29.2;17.5;150;10;5;10.2;7.58;0.45;3.06;24.61;4.51;1.04;5
4-Dic-12;1395;M2;86400;0.38;0.02;0.3;1.89;40;100;18;15;9.9;20.17;1.1;1.58;7.5;61.72;6.8;60;;;;;;;;;;;
4-Dic-12;1396;M5;18443;1.05;0.02;0.25;1.87;60;100;9;15;9.9;31.8;0.45;3.57;8.47;90.49;43.9;84;;;;;;;;;;;
9-Dic-12;1397;M6;0;2.49;0.01;1.05;6.2;80;100;80;10;10.2;33.22;0.1;8.61;8.5;80.83;49.8;80;150;50;5;11;4.53;0.02;5.55;5.27;3.77;10.98;11
9-Dic-12;1398;M5;0;1.24;0.01;0.15;5.08;100;50;80;10;10.2;27.4;0.1;2.18;9.74;90.27;65.7;88;;;;;;;;;;;
9-Dic-12;1399;M6;0;2.04;0.01;1.26;7.44;120;150;60;15;10.2;31.66;0.1;8.69;9.49;59.6;26.4;59;150;50;5;11.1;9.82;0.03;18.16;6.29;19.66;58.69;58.7
9-Dic-12;1400;M2;0;0.37;0.01;0.06;6.53;5;0;6;10;10.2;17.99;0.15;0.78;17.01;84.49;32.1;82;;;;;;;;;;;
9-Dic-12;1401;M5;61433;1.1;0.01;0.43;2.39;80;50;45;15;10.2;22.64;0.3;7.4;7.8;90.07;73.1;87;;;;;;;;;;;
16-Dic-12;1402;M3;0;0.93;0.11;1.19;9.6;40;150;10;15;10;8.07;1.41;26.46;11.85;11.38;29;15;150;5;5;11;9.65;1.46;9.96;23.25;15.37;12.35;18
16-Dic-12;1403;M2;0;0.59;0.02;0.15;7.61;30;40;25;15;10;13.3;0.4;1.15;29.4;38.12;13.2;40;;;;;;;;;;;
16-Dic-12;1404;M4A;0;0.38;0.04;1.44;5.23;80;150;2;15;10;5.08;0.32;33.05;7.57;16.85;28.8;18;150;6;5;11;4.3;1.19;16.14;9.85;8.01;7.9;10
16-Dic-12;1405;M2;0;0.91;0.01;0.48;9.16;40;80;30;15;10;14.8;0.06;4.64;15.17;8.28;4.9;10;;;;;;;;;;;
21-Dic-12;1406;M4T;142699;2.11;0.03;2.37;12.39;20;150;60;5;8;23.36;0.25;4.69;23.69;86.19;15.9;66.2;150;30;10;11.1;3.24;0.02;34.15;10.24;8.36;81.18;87
21-Dic-12;1407;M4AT;145485;0.78;0.04;3.51;8.29;10;150;60;5;10.1;17.88;1.09;7.46;15.41;66.71;6.4;67;200;40;10;11;1.23;0.04;38.3;6.29;12.36;88.53;87.5
21-Dic-12;1408;M2AT;120086;1.29;0.01;0.46;13.65;10;0;25;10;10.2;23.11;0.05;3.31;23.71;84.76;34.3;84;;;;;;;;;;;
23-Dic-12;1409;M4A;28230;0.29;0.44;1.81;4.4;10;150;15;5;10;5.08;15.9;3.93;6.56;36.64;4.4;40;150;10;5;10.9;2.22;1.01;38.1;5.81;30.26;80.27;80
27-Dic-12;1410;M4A;26858;1.02;0.02;2;10.56;5;150;45;5;10;21.11;0.31;4.08;20.59;71.55;7;71;200;20;5;11.1;3.88;0.02;34.8;10.76;19.58;88.95;87
27-Dic-12;1411;M2A ;48064;0.9;0.01;0.08;11.2;5;;7;5;10.2;23.3;0.14;0.9;23.9;83.7;50.2;83.5;;;;;;;;;;;
27-Dic-12;1412;M2A;77951;0.27;0.01;0.03;5.42;5;;15;5;10.2;12.1;0.12;0.7;20.5;85;39.2;84;;;;;;;;;;;
27-Dic-12;1413;M2A;120113;0.87;0.01;0.17;10.25;10;;65;10;10.3;21.6;0.11;1.2;21.8;83.3;23.7;83;;;;;;;;;;;
27-Dic-12;1414;M4A;40076;1.26;0.06;3.14;11.42;10;200;60;10;10.1;20.49;1.13;5.06;20.59;67.06;6.3;66;100;15;5;11.1;2.63;0.06;41.9;5.98;14.64;88.39;86.5
27-Dic-12;1415;M2A;232755;0.86;0.01;0.04;8.18;10;;20;5;10.3;20.5;0.06;0.6;20.9;87.7;54.3;88;;;;;;;;;;;
27-Dic-12;1416;M2AT;25646;2.5;0.02;0.07;10.03;10;;35;15;10.3;32.8;0.12;1;19.4;83.3;76;82;;;;;;;;;;;
30-Dic-12;1417;M2;162568;0.72;0.01;0.2;7.73;15;;10;10;10.3;14.8;0.08;1.8;23.8;48.7;21.3;48;;;;;;;;;;;
30-Dic-12;1418;M4;86044;0.85;0.04;1.33;8.74;40;150;8;20;10.1;11;0.42;15.7;15.4;37.4;34.5;37;;;;;;;;;;;
6-Ene-13;1419;M2AT;157256;0.84;0.01;0.07;5.8;10;;15;15;10.1;28.53;0.14;1.49;20.4;84.93;56.1;84.5;;;;;;;;;;;
6-Ene-13;1420;M2AT;55556;0.67;0.01;0.09;3.63;20;50;30;15;9.8;27.5;0.16;0.8;5.95;82.55;15.9;82;;;;;;;;;;;
7-Ene-13;1421;M6;19901;0.79;0.08;1.8;4.08;60;150;25;20;10.2;20.37;2.47;5.22;11.85;64.54;7.3;63.8;200;30;10;11;3.63;0.11;33.4;4.59;21.4;86.55;85.5
7-Ene-13;1422;M5;15600;0.39;0.03;0.43;3.7;60;50;70;20;10.2;15.52;0.98;5.4;9.12;74.94;23.4;73;;;;;;;;;;;
7-Ene-13;1423;M5;173674;1.48;0.01;0.19;5.08;30;40;80;20;9.9;29.65;0.1;3.38;9.13;84.59;75;83;;;;;;;;;;;
7-Ene-13;1424;M6;34305;1.28;0.01;1.13;7.76;40;120;81;20;10;25.58;0.11;10.72;11.09;80.93;38.9;79.5;300;42;5;10.8;1.51;0.01;19.98;4.83;2.32;35.2;34
7-Ene-13;1425;M2;56123;0.38;0.01;0.04;5.73;20;0;30;10;9.8;19.11;0.14;1.09;16.54;87.42;31.2;86.5;;;;;;;;;;;
7-Ene-13;1426;M2;54908;0.62;0.01;0.06;6.49;10;0;12;5;10.1;17.88;0.08;0.78;15.49;82.79;36.6;81.5;;;;;;;;;;;
27-Ene-13;1433;M5;29730;0.64;0.02;0.25;5.98;100;80;80;10;9.9;10.08;0.28;3.24;5.82;39.08;32.1;38;;;;;;;;;;;
9-Feb-13;1434;M4;39825;1.24;0.05;1.35;10.97;50;150;9;10;9.9;9.86;0.1;20.07;15.07;10.53;19.9;10;100;4;5;10.9;7.88;0.1;4.27;24.99;6.53;3.28;5
9-Feb-13;1435;M2;61826;0.51;0.01;0.05;7.55;20;;4;10;10.2;16.5;0.08;0.86;21.33;65.39;37.1;64;;;;;;;;;;;
9-Feb-13;1436;M2;156488;0.78;0.01;0.19;8.26;25;50;10;15;10;16.68;0.07;4.13;21.02;45.35;45.1;44.5;;;;;;;;;;;
17-Feb-13;1437;M4AT;0;0.77;0.01;1.61;4.89;80;130;8;;9.8;8.07;0.06;25.68;5.23;39.93;59.8;35;200;6;;10.8;3.85;0.05;3.02;4.95;8.4;3.1;10
17-Feb-13;1438;M5;22365;0.69;0.02;0.62;6.91;90;100;12;10;10;5.09;0.06;3.8;9.16;9.41;7.8;12;;;;;;;;;;;
5-Mar-13;1439;M5;122861;0.59;0.01;0.44;5.95;120;80;65;25;10;9.9;0.2;3.6;8.1;13.2;6.3;14.3;;;;;;;;;;;
5-Mar-13;1440;M5;42923;0.63;0.02;0.39;2.38;80;80;13;15;10;24.2;0.7;2.8;7.7;68.2;12.5;69.3;;;;;;;;;;;
7-Mar-13;1441;M2A;66302;0.57;0.02;0.54;7.95;80;;60;10;10.2;4.1;0;2.1;10.7;11.5;6.2;12;;;;;;;;;;;
9-Mar-13;1442;M2AT;26220;0.23;0.02;0.36;3.42;5;;45;20;9.9;9.4;0.9;1.6;6.1;21.9;2.1;21.5;;;;;;;;;;;
9-Mar-13;1443;M6;55211;0.52;0.03;0.96;3.44;5;;40;10;10;12.6;1.4;2.6;7;19.2;2.3;18;50;100;20;10.5;1.1;0.29;0.88;3.15;2.84;1.16;5
9-Mar-13;1444;M2AT;68625;0.34;0.01;0.25;3.74;;;50;15;8.5;10;0.4;7.6;6.4;17.9;18.3;18;;;;;;;;;;;
9-Mar-13;1445;M2A;56040;0.43;0.01;0.31;4.41;;;60;15;8.2;4.1;0.3;7.3;5.2;8.8;20;9.5;;;;;;;;;;;
9-Mar-13;1446;M4AT;85609;0.54;0.12;1.33;3.89;5;60;35;15;9.5;3.7;1.9;20;3.3;19.5;43.5;18.5;0.33;20;10;10.5;4.9;1.25;16.1;4.6;26.34;35.21;34.5
9-Mar-13;1447;M2AT;70519;0.4;0.02;0.27;4.41;5;;25;10;9.5;3.3;0.2;3.5;4.6;14.6;22.9;15;;;;;;;;;;;
9-Mar-13;1448;M6;35280;0.64;0.01;1.64;4.71;20;30;25;15;9.8;7.7;0.1;37.7;4.6;15;28.7;14.5;0.47;20;10;10.8;9.03;0.06;10.44;7.43;18.12;8.21;10
10-Mar-13;1449;M2AT;26220;0.3;0.02;0.43;2.62;5;;30;15;9.9;11.6;0.9;10.2;6.3;37.6;23.5;38;;;;;;;;;;;
17-Mar-13;1450;M4A;35804;0.65;0.07;1.49;7.55;30;200;4;10;10.1;7.2;0.3;30.7;9.7;17.6;32.7;16.5;150;10;;10.8;8.27;0.47;15.2;13.35;46.48;37.56;45
17-Mar-13;1451;M5;21465;0.59;0.1;0.27;10.2;10;20;40;10;10.1;10.9;0;2.2;17.8;14;6.4;14;;;;;;;;;;;
17-Mar-13;1452;M2T;54788;0.75;0.1;0.35;8.73;5;50;9;10;10.2;15.6;0.1;6.8;22.9;87.4;81.2;86;;;;;;;;;;;
17-Mar-13;1453;M4A;36634;0.52;0.07;1.72;7.55;20;200;4;10;9.9;8.3;0.8;35.8;8.8;25.2;35.3;24;100;10;5;10.8;5.55;0.56;9.41;16.64;45.28;24.89;44
27-Mar-13;1454;M4T;0;1.24;0.02;1.77;7.66;30;120;70;5;10;18.9;0.3;3;16.4;82.2;8.8;81.5;140;60;5;10.8;3.04;0.02;35.15;8.75;11.02;86.53;85
27-Mar-13;1455;M4AT;0;0.39;0.05;2.56;5.16;15;180;15;5;10;4.8;2;2.8;6.3;26.2;2.3;60;180;30;5;10.8;3.29;0.08;33.2;7.54;62.12;93.2;90
30-Mar-13;1456;M5;16688;0.34;0.02;0.27;2.5;40;80;50;5;10;6.1;0.3;0.8;3.4;67.6;10.8;66;;;;;;;;;;;
31-Mar-13;1457;M4AT;19793;0.32;0.14;1.02;2.01;15;100;14;15;9.8;14.5;9;2.9;11.2;50.2;2.8;50;100;3;5;11.1;4.5;0.3;45.2;6.1;32;92.9;89
31-Mar-13;1458;M4AT;31414;0.57;0.06;2.2;8.36;15;180;12;15;10;21.5;3;4.9;14.4;53.2;2.9;53;150;9;5;11.1;3.4;0.09;46.6;5.8;28.9;92.5;90
31-Mar-13;1459;M4AT;32171;0.63;0.05;2.45;6.28;2;180;20;15;10;21.2;2.2;3.6;17.8;57.3;2.5;57;150;9;5;11.1;4;0.05;47.2;5.8;31;92.7;91
31-Mar-13;1460;M6;45109;0.78;0.05;1.66;6.81;20;150;20;15;10;21.6;1.7;2.6;15.4;64.7;3.6;64;150;9;5;11.1;3.8;0.08;38.1;5.8;18.7;90.7;87
31-Mar-13;1461;M2AT;102720;0.92;0.02;0.22;11.4;5;;10;15;10;23.9;0.3;1.5;23;80;20.6;79;;;;;;;;;;;
27-Mar-13;1462;M2AT;0;0.39;0.01;0.07;8.6;5;;55;15;10;19.3;0.3;0.7;17.7;62.3;12.4;62;;;;;;;;;;;
27-Mar-13;1463;M4AT;0;1.06;0.03;2.97;10.09;10;200;50;15;10;22.3;0.6;4.6;19.9;68.1;4.9;67;150;15;5;11;2.4;0.03;43.5;7.6;14.4;89.6;88
27-Mar-13;1464;M2AT;0;1.05;0.01;0.3;11.87;5;;3;15;10;23.1;0.1;2.8;21.7;83.1;34.6;82;;;;;;;;;;;
3-Abr-12;1465;M5;53558;0.6;0.02;0.66;7.66;75;80;30;15;9.9;3.7;0.2;8.2;8.6;11.5;22.6;12.5;;;;;;;;;;;
3-Abr-12;1466;M2AT;21360;0.6;0.01;0.07;6.14;15;;30;15;10.1;18.3;0.1;0.9;16.9;79;31.8;78.5;;;;;;;;;;;
3-Abr-12;1467;M2AT;16920;0.77;0.01;0.12;7.04;20;;25;15;10.1;20;0.1;2.1;19.9;92.5;61.2;91;;;;;;;;;;;
4-Abr-13;1468;M2AT;53483;0.88;0.01;0.04;5.91;10;;40;25;10.2;22;0.1;0.8;18.1;88.2;73.9;87;;;;;;;;;;;
4-Abr-13;1469;M5;32299;1.42;0.01;0.08;8.55;60;50;70;30;10;24.6;0.1;1.1;16.1;88.1;74.2;87;;;;;;;;;;;
7-Abr-13;1470;M6;0;0.75;0.02;2.09;2.87;60;130;45;15;10;23.1;0.3;4.4;10.9;77.5;5.5;76;220;17;5;10.9;1.9;0.01;43.5;2.5;10.2;88.5;87
7-Abr-13;1471;M5;0;0.51;0.01;0.3;7.14;40;70;65;30;10;7.4;0.1;3.2;9.5;21.9;15.6;20;;;;;;;;;;;
7-Abr-13;1472;M6;0;0.7;0.01;1.19;7.92;40;100;30;15;10;8.8;0.2;23.5;10.5;22.1;35;20;150;25;5;10.8;7.2;0.1;4.6;16.2;12.6;4.8;4
7-Abr-13;1473;M2AT;0;0.45;0.01;0.19;6.3;;;80;35;10;4;0.1;4.2;6.6;11.6;29.4;10;;;;;;;;;;;
10-Abr-13;1474;M5;58530;0.35;0.01;0.29;4.51;90;50;80;20;10.1;8;0.2;7;6.8;38.7;40.4;35;;;;;;;;;;;
10-Abr-13;1475;M5;35703;0.53;0.02;0.44;5.15;90;100;80;30;10;6.6;0.2;6;5.8;29.4;37.4;28;;;;;;;;;;;
11-Abr-13;1476;M5;17100;0.32;0.04;0.2;4.12;90;50;80;15;10;9.9;1;5.2;5.7;65.8;55.1;62;;;;;;;;;;;
12-Abr-13;1477;M2;92264;1.07;0.01;0.03;8.78;10;;25;10;10.1;21.1;0;0.5;21.6;93.1;72.3;92.5;;;;;;;;;;;
12-Abr-13;1478;M5;63161;1.13;0.02;0.12;5.08;60;50;80;15;10;25.4;0.2;1.7;9.4;88.5;59.1;87.5;;;;;;;;;;;
14-Abr-13;1479;M2;90000;0.14;0.01;0.04;3.31;5;;60;30;10.1;4.2;1;1.4;7.6;86.2;80.8;87.5;;;;;;;;;;;
12-Abr-13;1480;M2A;45795;0.55;0.02;0.28;5.03;20;50;60;20;10.1;14.3;0.2;5.9;9.8;72.3;57;72;;;;;;;;;;;
12-Abr-13;1481;M4A;43073;0.44;0.02;1.03;4.38;20;150;80;30;10.1;4.5;0.2;10;4.7;24;22.4;23;150;40;5;11.1;3;0.09;9.3;4.1;;;29.5
17-Abr-13;1482;M5;64519;1.3;0.01;0.15;6.97;50;40;85;10;10;30.6;0.1;2.6;11;86.3;73.4;84;;;;;;;;;;;
17-Abr-13;1483;M6;21304;1.61;0.01;1.44;9;100;120;60;15;10.3;28.9;0.3;6;12.7;83.5;18.7;82;250;20;10;11.2;3.2;0.06;27.8;5.32;8;76.1;74
19-Abr-13;1484;M2AT;29629;0.39;0.01;0.04;5.39;10;;7;5;9.8;11.7;0.1;0.5;12.1;82.7;41.7;81.5;;;;;;;;;;;
19-Abr-13;1485;M2A;19250;0.43;0.01;0.02;6.1;10;;17;5;9.8;13.8;0.1;0.3;13.7;65.2;34.6;64;;;;;;;;;;;
19-Abr-13;1486;M2;17119;0.74;0.01;0.03;9.11;10;;8;5;9.8;18.9;0;0.4;20;89.5;40.7;88;;;;;;;;;;;
19-Abr-13;1487;M2AT;14325;0.42;0.01;0.07;8.93;10;;15;5;9.8;12.7;0.1;0.7;14.8;71.9;24.4;70;;;;;;;;;;;
17-Abr-13;1488;M4AT;41756;1.11;0.03;2.47;10.61;30;160;40;5;10.4;19.6;0.5;6.3;19.1;70.1;11.6;69;200;10;10;11.3;2;0.03;38.8;5.9;8.7;85;84
19-Abr-13;1489;M4A;21152;0.43;0.04;6.85;6.68;10;200;55;10;9.5;19;1.8;10;18.2;76.3;2.5;75;200;30;10;10.9;0.3;0.02;53;4.1;9.4;92.8;89.5
23-Abr-13;1490;M1;0;0.16;0.02;0.03;1.16;;;15;5;10.1;4.8;0.2;0.4;10.6;93.4;56.5;91;;;;;;;;;;;
23-Abr-13;1491;M1;0;0.17;0.01;0.03;3.74;;;20;10;10;5.6;0.2;0.8;10.9;88.1;67;86;;;;;;;;;;;
23-Abr-13;1492;M4AT;0;1.25;0.02;1.37;8.1;20;150;30;20;10;25;0.3;4.8;20;85.5;15.1;84.5;100;15;5;11.1;2.6;0.04;35.8;6.1;6.4;80.2;79.5
25-Abr-13;1494;M4;32040;1.35;0.04;1.4;10.17;50;150;15;10;10;13.9;0.3;11.9;15.9;28.5;23.5;27.5;100;10;;11.1;3.5;0.19;1.9;22.7;3.5;1.8;5.5
25-Abr-13;1495;M4;16448;1.24;0.03;1.94;9.45;90;200;10;10;10;11.8;0.3;28.8;12.8;45.4;70.7;43.5;100;10;;11.1;13.7;0.42;5.9;22.7;26.1;7.2;8
25-Abr-13;1496;M4;18866;1.26;0.05;1.88;10.04;50;200;10;10;10.1;10;0.3;25.9;11.7;36.7;59;34.5;;;;;;;;;;;
25-Abr-13;1497;M2;17824;0.71;0.01;0.09;8.71;30;;10;10;10.2;12.7;0.1;1.2;24.1;64;52.3;65.5;;;;;;;;;;;
25-Abr-13;1498;M2;24615;0.25;0.02;0.06;5.63;20;;7;5;10.2;7.3;0.4;1.1;15.1;67.8;39.4;68.5;;;;;;;;;;;
30-Abr-13;1499;M2;129593;1.11;0.02;0.08;11.31;10;20;30;10;10;19;0.2;0.8;24.9;91.4;46;91;;;;;;;;;;;
30-Abr-13;1500;M3;49793;3.33;0.01;1.97;22.38;50;140;90;15;10;25.3;0;3.7;29.5;92.9;22.5;91.5;200;10;5;11.1;3;0.01;29.9;18.8;4.6;75.8;74.5
30-Abr-13;1501;M4;75011;1.04;0.07;2.39;8.29;20;160;40;10;10;20.6;1.8;3.9;21.1;66.8;5.5;66;180;15;5;10.9;3.9;0.05;33.8;13.1;23.6;88.9;88
30-Abr-13;1502;M6;17000;1.24;0.07;1.76;4.24;80;120;70;10;10;17.3;0.9;23.1;6.8;80.3;76.2;78.5;150;15;15;11;3;0.25;15.3;3.8;4.2;15.4;16
30-Abr-13;1503;M6;78821;0.85;0.04;0.79;3.96;80;120;60;10;9.9;23.3;0.7;3.5;8.6;67.8;10.6;66.8;180;15;15;10.9;;;;;;;72
30-Abr-13;1504;M5;29000;0.36;0.02;0.18;4.75;40;80;70;10;9.8;11.2;0.5;2.2;5.8;45;17;44;;;;;;;;;;;
30-Abr-13;1505;M5;17000;0.53;0.04;0.32;3.52;20;80;40;5;9.8;18.4;1.2;10.1;10.5;68.5;62.3;67.5;;;;;;;;;;;
30-Abr-13;1506;M4AT;31399;0.35;0.03;1;7.05;20;100;40;5;9.9;6.7;0.5;1.8;8;65;6.4;63;100;8;5;11;2.3;0.02;22.3;5.7;24.6;88;85
2-May-13;1507;M4AT;104558;0.33;0.04;1.19;3.5;10;100;50;10;9.9;14.2;1.8;3.3;12.4;63;4.2;62;150;12;5;9.9;2.6;0.06;36;5.8;22.9;89.4;88
2-May-13;1508;M4AT;73785;0.57;0.04;2.2;11.12;20;140;60;5;10;14.8;2;3.4;16.1;39.5;2.3;39;150;8;5;10.9;5.7;0.02;40.9;9.3;49.2;93.4;91.5
2-May-13;1509;M5;68644;1.33;0.02;0.24;2.21;40;60;6;15;10.1;27.5;0.24;4.9;8.1;88.5;88;87;;;;;;;;;;;
2-May-13;1510;M4A;0;0.47;0.05;1;5.59;60;60;20;10;9.8;15.5;1.59;12.4;15.3;70.4;25.2;69;150;2.5;5;11;3.3;0.18;26.9;7.9;13.3;48.5;47.5
2-May-13;1511;M4A;0;0.8;0.05;0.69;11.34;15;50;55;15;9.8;18.2;1.36;2.5;16.9;75.4;11.6;74.3;160;2;5;11;3.9;0.1;35;7;7.8;77.6;76.5
2-May-13;1512;M5;0;1.5;0.02;0.28;13.69;40;;90;15;10.3;25.8;0.36;2.2;23.2;87.3;37.5;86;;;;;;;;;;;
2-May-13;1513;M2AT;0;0.54;0.02;0.07;10.13;10;;80;10;10;16.3;0.26;0.6;16.6;71;17.1;71.5;;;;;;;;;;;
10-May-13;1514;M2;223796;0.65;0.01;0.11;7.1;15;;9;15;10.3;13.7;0.1;2.1;17.2;85.4;81.9;85.5;;;;;;;;;;;
10-May-13;1515;M2A;23681;0.26;0.01;0.1;3.83;5;;8;7.5;10.3;9;0.1;3.6;14;88.7;90.3;86.5;;;;;;;;;;;
10-May-13;1516;M2AT;118031;0.49;0.02;0.31;5.97;30;100;80;15;10.2;10.5;0.5;4.9;11.9;72.5;51.8;72;;;;;;;;;;;
10-May-13;1517;M5;95792;1.33;0.02;0.24;2.21;90;150;80;15;10.1;7.3;0.2;5.9;9.3;16.8;22.8;12.5;;;;;;;;;;;
10-May-13;1518;M6;78087;0.65;0.02;1.06;6.58;120;150;20;5;9;6.1;0.4;8;5.9;8.8;6.7;12;100;15;5;11;7.98;0.24;23;9.36;44.99;74.4;45
10-May-13;1519;M5;38802;0.23;0.01;0.2;3.05;40;100;60;10;10;7.2;0.2;1.5;6.7;65.9;14.9;64.5;;;;;;;;;;;
14-May-13;1520;M2A;107283;0.26;0.01;0.1;3.83;5;;20;7.5;10.2;19.2;0.1;0.9;19.6;92.4;40;92;;;;;;;;;;;
14-May-13;1521;M2AT;65801;1.89;0.01;0.04;9.84;10;;45;10;10.2;27.7;0.1;0.5;19.3;90;77.8;90;;;;;;;;;;;
15-May-13;1522;M2AT;90360;0.59;0.01;0.04;11.39;30;0;35;10;10.5;20.5;0.1;0.5;19.3;79.6;29.2;79.4;;;;;;;;;;;
Jun-13;1523;M5;37219;2.29;0.01;0.06;14.44;70;0;90;15;10.7;35.5;0.1;0.8;17.5;92.2;84.2;90;;;;;;;;;;;
Jun-13;1524;M2A;44839;0.43;0.02;0.16;9.7;10;0;40;15;10.4;10.3;0.6;0.7;13.2;49.2;9.1;50;;;;;;;;;;;
Jun-13;1525;M6;74722;1.86;0.02;1.48;9.38;100;200;70;15;10;29.4;0.1;4.8;12.4;87.9;17.7;85;200;35;10;11;2.28;0.01;34.8;4.69;4.18;78.05;77
Jun-13;1526;M2AT;0;0.99;0.01;0.04;6.34;10;0;30;10;10.5;19.3;0;0.6;15.7;87.5;73.3;88;;;;;;;;;;;
Jun-13;1527;M5;0;0.97;0.01;0.06;8.4;50;;80;10;10.5;20.6;0.1;0.7;13.5;85.2;47.6;84;;;;;;;;;;;
Jun-13;1528;M2AT;0;0.57;0.01;0.04;4.93;10;0;20;10;10.5;18.4;0.1;0.7;17.2;93.2;51.3;93;;;;;;;;;;;
Jun-13;1529;M2AT;138525;0.61;0.01;0.29;7.28;;;;;;;;;;;;43;;;;;;;;;;;
Jun-13;1530;M6;44490;0.76;0.03;2.13;8.39;;;;;;;;;;;;18;;;;;;;;;;;40
Jun-13;1531;M6;30645;0.76;0.03;1.13;6.64;;;;;;;;;;;;25;;;;;;;;;;;5
Jun-13;1532;M5;25673;0.47;0.01;0.04;7.65;;;;;;;;;;;;17;;;;;;;;;;;
Jun-13;1533;M2AT;204214;0.49;0.01;0.08;5.99;;;;;;;;;;;;42;;;;;;;;;;;
Jun-13;1534;M4AT;63642;0.88;0.04;1.14;9.32;20;100;25;15;10.2;15.1;0.4;14.3;22.2;60.2;44.3;30;150;15;5;10.8;3.67;0.11;1.77;26.6;7;2.6;5
Jun-13;1535;M2AT;100236;0.54;0.02;0.19;7.26;30;40;15;10;10.2;18.7;0.4;5.2;17.7;65.2;52.4;66;;;;;;;;;;;
Jun-13;1536;M4AT;17660;0.45;0.01;0.51;3.25;100;150;70;10;10;17.6;0.7;7.6;7.5;52.1;19.8;53;1;20;5;11;1.87;0.06;13.14;3.22;6.06;37.63;36.5
Jun-13;1537;M4AT;24015;0.54;0.01;0.78;1.94;100;150;60;10;10;16.6;0.3;4.3;5.9;72.5;13.5;71.5;1;20;5;11;1.13;0.03;13.36;2.03;6.25;53.3;52
Jun-13;1538;M5;56516;1.08;0.01;0.09;7.2;80;0;60;10;10.2;27.1;0.2;1.5;9.4;82.6;43.3;82;;;;;;;;;;;
Jun-13;1539;M2;92595;0.78;0.01;0.24;8.48;50;30;6;30;10.2;17.7;0.1;5.6;19;63.4;59.7;62;;;;;;;;;;;
Jun-13;1540;M2;29171;0.99;0.01;0.21;9.95;50;30;40;20;10.2;14;0.1;1.5;22.4;14.6;7.4;13;;;;;;;;;;;
