Fecha_reporte;MT;Tipo_Mineral;Tonelaje;Ali_Cu;Ali_Pb;Ali_Zn;Ali_Fe;NaCN;ZnSO4;PAX;F582;pH;Flo1_Cu;Flo1_Pb;Flo1_Zn;Flo1_Fe;Cu;Zn;Recup_Cu;CuSO4;SIPX;F582;pH;Flo2_Cu;Flo2_Pb;Flo2_Zn;Flo2_Fe;Cu;Zn;Recup_Zn
21-Feb-09;MT-923;M4A;0;0.46;1.33;4.94;13.15;20;200;11;10;10.1;6.81;24.33;8.04;11.07;65.77295722;7.44523874;63;150;32.5;5;11.4;1.31;0.54;52.4;5.9;20.76869973;79.65107138;80
21-Feb-09;MT-924;M4;0;1.23;0.21;2.99;23.13;20;150;5;10;10.8;19.01;3.19;4.48;24.96;79.00533352;7.798332572;78;150;22.5;5;11.4;3.29;0.21;42.5;12.73;10.75837117;58.20884747;58
15-Mar-09;MT-925;M4;39101;0.67;0.02;1.66;11.78;50;150;7;5;9.84;20.04914358;0.524785894;10.78392947;21.10438287;59.42008104;12.10605045;57;150;8;;11.32;3.86;0.04;45.85;9.09;16.42513953;73.90079826;71
15-Mar-09;MT-926;M4A;88853;0.75;0.12;3.59;11.24;30;200;7;10;9.87;13.28540541;2.272297297;10.61351351;15.14391892;69.84208174;11.61898071;66;200;25;;11.34;2.32;0.17;49.9;7.1;17.35060023;77.71297833;75
15-Mar-09;MT-927;M4A;75630;0.88;0.07;6.11;10.46;30;250;6;10;9.89;10.33421053;1.289473684;9.093684211;11.87368421;56.69221561;7.169866731;54;300;40;;11.35;2.7;0.08;49.5;7.94;33.04186369;87.06248504;85
17-Mar-09;MT-928;M4A;53066;0.29;0.05;4.17;9.28;30;180;8;10;9.56;10.72;2.75;22.71;12.8;48.06205861;7.159575048;46;280;20;10;11.54;1.4;0.16;43.4;6.78;39.33923706;85.7531644;82
17-Mar-09;MT-929;M4A;68314;0.22;0.05;4.37;11.01;30;180;10;10;9.6;10.32;2.94;26.7;12.53;47.66453683;6.465733385;45;280;15;10;11.45;1.22;0.11;49.95;5.27;39.93808747;85.73413627;82
24-Mar-09;MT-933;M6;19469;1.99;0.01;2.44;6.49;100;270;25;;9.8;22.2;0.2;25.4;7.3;40;39.5;37;270;30;;11.2;15.1;0.1;21.3;6.6;21.3;25.9;23.5
29-Mar-09;MT-937;M3;61388;1.63;0.03;3.01;22.26;30;200;22.5;10;10.4;17.9;0.7;5.5;26.9;63.5;10;60.5;200;15;;;7.5;0.01;34.8;18.6;25.5;61.3;58
29-Mar-09;MT-938;M4A;80051;2.04;0.79;3;18.05;30;250;12.5;10;9.7;18.9;8.8;4.9;22;80.7;13.7;77;200;15;;;3.8;0.2;41.5;12.8;10.1;71.9;67
29-Mar-09;MT-939;M4A;107164;0.77;1.66;8.12;12.39;10;300;7.5;10;9.4;9.2;34.1;8;11.4;55.6;4.2;53;300;40;;;1.9;0.9;54.7;6.9;35.7;89.4;86
2-Abr-09;MT-946;M3;0;1.43;0.03;0.93;21.65;30;150;10;10;10.9;18.9;0.4;2.7;27.9;84;16.7;80.1;200;7;;11.6;3.1;0.1;28.6;14.4;4.1;51.5;47.1
6-Abr-09;MT-956;M6;0;2.44;0.02;1.9;5.66;100;200;40;15;10.3;35.9;0.24;13.92;9.28;74.40743207;37.43631449;75;250;20;5;11.4;7.01;0.05;21.35;4.7;10.50613057;41.5197413;42
14-Abr-09;MT-960;M3;0;0.97;0.11;1.46;20.84;20;250;7;11;10.4;16.05;1.95;4.03;25.02;77.34084585;12.50219913;73.7;200;5;;11.2;2.82;0.11;33.35;13.24;7.147386822;54.41786539;52.6
14-Abr-09;MT-961;M3;175695;0.87;0.01;1.19;17.73;50;150;7;10;10.4;19.4;0.59;5.38;24.11;77.79318641;15.47424811;78;150;8;5;11.2;2.93;0.02;41.75;9.08;6.364137608;65.04529244;64
14-Abr-09;MT-962;M4A;162206;0.73;0.04;2.96;12.33;30;200;6;10;10.3;16.68133858;1.108393701;10.30162205;18.6164252;70.92239656;10.55492019;70;200;15;5;11.2;2.45;0.07;47.15;7.87;16.79750662;77.90355382;77
14-Abr-09;MT-963;M4A;28601;0.38;0.23;2.55;7.41;20;200;4;5;10;10.06;7.25;9.44;12.45;63.65096668;8.225412914;63;200;15;5;11.2;2.14;0.38;43.15;8.1;28.52120432;79.19788391;79
14-Abr-09;MT-964;M2;28564;0.33;0.01;0.11;4.31;20;;12;20;9.6;13.83;0.56;0.48;5.44;64.09052579;6.329852779;60;;;;;;;;;;;
14-Abr-09;MT-965;M4A;22013;1;0.01;0.93;3.23;50;100;4;10;9.6;37.1;0.57;1.19;7.81;52.22163068;1.794651051;50;100;5;5;11;13.89;0.07;30.55;6.15;30.73399904;72.42434546;70
14-Abr-09;MT-966;M6;158681;1.83;0.01;1.91;6.01;150;200;35;10;10.2;33.09066667;0.376857143;4.232571429;9.704880952;81.16527387;10.0705861;78;250;20;5;11.4;3.51;0.03;34.1;3.59;8.107165811;76.40152502;75
14-Abr-09;MT-967;M5;23891;1.2;0.01;0.25;5.2;50;100;35;15;10.2;33.88;0.15;1.8;8.81;79.26831862;21.55851902;78;;;;;;;;;;;
15-Abr-09;MT-968;M3;72383;1.33;0.04;1.85;24.37;30;150;10;5;10.7;20.4838632;0.665289017;4.473246628;25.48442197;78.34039833;11.22334437;76;200;15;5;11.4;3.43;0.05;45.2;12.73;7.443650438;64.35107725;62
15-Abr-09;MT-969;M4A;17348;0.52;0.36;3.25;12.45;10;180;7.5;10;10.4;9.39;10;7.46;14.52;73.88524606;9.247913771;71.5;250;20;5;11.4;1.47;0.31;45.8;10.39;17.2340929;84.5959137;72
15-Abr-09;MT-970;M4;68220;1.39;0.12;2.22;22.53;30;150;9;10;10.7;17.96841762;1.742104405;5.295179445;24.29459217;81.27086254;14.69081444;80;200;15;5;11.3;2.64;0.22;45.2;9.85;6.720283332;70.57684601;68
15-Abr-09;MT-971;M4A;64511;0.68;1.05;4.21;12.86;10;180;8;10;10.5;13.15;24.65;5.84;14.83;69.49836891;5.135285298;68;200;25;5;11.3;1.95;0.6;50.2;7.51;18.60498279;79.68952691;77
18-Abr-09;MT-972;M1;0;1.02;0.04;0.42;12.44;20;;10;10;10;7.42;0.12;2.3;28.87;28.19992025;22.88416515;26;;;;;;;;;;;
18-Abr-09;MT-975;M6;0;1.7;0.01;3;5.97;100;200;70;10;10;30.483938;0.196693456;13.68520092;9.563765786;71.33228504;18.01575104;69;300;70;10;11;2.66;0.09;29.5;3.74;10.66221342;66.52331422;65
18-Abr-09;MT-976;M4A;0;1.08;0.1;4.64;4.31;50;250;30;10;9.8;18.95462633;2.080498221;12.72160142;10.8783274;67.6474909;11.50036251;65;300;35;;11;1.74;0.18;40.3;3.2;13.24487386;77.70284218;73
19-Abr-09;MT-977;M4A;0;0.27;0.04;5.99;7.17;10;300;2.5;5;9.75;7.56;2.66;17.52;10.06;35.46991063;3.384833812;58;300;35;5;11;1.15;0.11;49.05;8.8;51.49517872;90.44252761;88
19-Abr-09;MT-978;M4A;0;0.33;0.03;4.68;9.77;30;300;12.5;5;9.8;4.81;1.54;7.67;9.58;26.66567653;3.195816026;64;300;35;5;11;2.04;0.06;39.4;11.38;60.38653665;87.65668709;85
27-Abr-09;MT-979;M2;94823;1.99;0.01;0.23;15.05;20;50;15;10;10.28;26.73;0.12;0.88;25.49;94.79331072;27.94516304;94.4;;;;;;;;;;;
27-Abr-09;MT-980;M1;117518;3.36;0.01;0.47;16.63;20;50;25;10;10.4;26.96;0.04;2.94;26.82;95.44468757;76.39781427;94.2;;;;;;;;;;;
27-Abr-09;MT-981;M4;44659;2.49;0.01;3.85;14.74;30;200;35;10;10.6;21.46339492;0.087759815;4.271882217;22.83430716;77.24340214;9.610162933;74;250;25;10;11.02;5.87;0.01;44.75;10.63;17.86861187;85.15188328;80.1
30-Abr-09;MT-983;M1;119520;1.25;0.02;0.11;10.31;20;;10;10;10.2;17.25536067;0.211480638;0.566233865;20.61451025;93.11064385;36.31436446;92.8;;;;;;;;;;;
30-Abr-09;MT-984;M3;40144;1.6;0.04;1.5;23.3;30;150;10;10;10.4;18.58072138;0.530119126;4.106227664;25.6650364;87.85609678;20.20581928;84;200;5;5;11;1.77;0.07;42.2;10.3;2.553401218;63.35521249;60.1
30-Abr-09;MT-985;M1;149839;1.48;0.03;0.61;24.13;30;50;10;10;10.4;17.68508384;0.376230718;2.033849765;25.51365526;86.62312371;23.2777553;86.9;;;;;;;;;;;
30-Abr-09;MT-986;M1;229290;1.64;0.02;0.41;18.88;30;;10;10;10.4;17.2466899;0.170232288;1.486945412;24.67051103;91.03560402;30.44801819;90.9;;;;;;;;;;;
30-Abr-09;MT-987;M3;37095;1.95;0.04;1.9;22.11;20;150;10;10;10.4;18.87;0.46;4.63;25.93;82.13228462;20.10260549;80.3;200;5;5;11;5.65;0.01;37;15.46;10.37021987;67.74396253;64.1
3-May-09;MT-989;M1;0;0.57;0.01;0.27;8.85;20;70;3.5;5;10.3;16.14;0.26;3.66;25.01;68.40919847;28.44476972;70.5;;;;;;;;;;;
3-May-09;MT-990;M1;0;1.1;0.03;0.55;11.81;20;100;6;5;10.8;18.9;0.22;4.3;25.31;63.76074801;40.01773151;65;;;;;;;;;;;
8-May-09;MT-991;M2;28459;2.19;0.01;0.39;22.6;20;100;15;10;10.4;21.73;0.11;1.47;28.71;90.56212991;33.22937966;88;;;;;;;;;;;
